id;title;genres;company;score;released_at
ape-escape-on-the-loose;Ape Escape: On the Loose;Action,Platformer,3D;;66;2005-03-22 00:00:00.000000
ape-quest;Ape Quest;Role-Playing,Japanese-Style;Shift / SCEA;70;2008-01-10 00:00:00.000000
arcana-famiglia-la-storia-della-aracana-famiglia;Arcana Famiglia: La storia della Aracana Famiglia;Adventure,Visual Novel;HuneX / Comfort;0;2011-10-27 00:00:00.000000
archer-macleans-mercury;Archer Maclean's Mercury;Puzzle,General;Awesome Studios / Ignition Entertainment;75;2005-04-06 00:00:00.000000
arcobaleno-portable;Arcobaleno! Portable;Adventure,Visual Novel;;0;2010-01-28 00:00:00.000000
are-you-alice;Are You Alice?;Adventure,Visual Novel;Otomate / Idea Factory;0;2011-04-07 00:00:00.000000
armen-noir-portable;Armen Noir Portable;Adventure,Visual Novel;;0;2012-04-12 00:00:00.000000
armored-core-3-portable;Armored Core 3 Portable;Simulation,Vehicle,Combat;;43;2009-10-21 00:00:00.000000
armored-core-formula-front-extreme-battle;Armored Core: Formula Front - Extreme Battle;Simulation,Vehicle,Combat;From Software / Agetec;66;2005-12-15 00:00:00.000000
armored-core-last-raven-portable;Armored Core: Last Raven Portable;Simulation,Vehicle,Combat;;62;2010-05-03 00:00:00.000000
armored-core-silent-line-portable;Armored Core: Silent Line Portable;Simulation,Vehicle,Combat;;65;2010-02-03 00:00:00.000000
arms-heart;Arms' Heart;Role-Playing,General;;0;2010-11-25 00:00:00.000000
army-of-two-the-40th-day;Army of Two: The 40th Day;Action,Shooter,Third-Person,Arcade;Buzz Monkey / Electronic Arts;49;2010-01-12 00:00:00.000000
arthur-and-the-invisibles;Arthur and the Invisibles;Action Adventure,General;Etranges Libellules / Atari, Inc.;40;1970-01-01 00:00:00.000000
asaki-yumemishi;Asaki, Yumemishi;Adventure,Visual Novel;MIO / Quinrose;0;2011-04-28 00:00:00.000000
asphalt-urban-gt-2;Asphalt: Urban GT 2;Racing,Arcade,Automobile;Virtuos / Ubisoft;42;1970-01-01 00:00:00.000000
assassins-creed-bloodlines;Assassin's Creed: Bloodlines;Action Adventure,Open-World;Griptonite Games / Ubisoft;63;2009-11-17 00:00:00.000000
asterix-and-obelix-xxl-2-mission-wifix;Asterix & Obelix XXL 2: Mission: Wifix;Action,Platformer,3D;Tate Interactive / Atari;68;2006-11-17 00:00:00.000000
astonishia-story;Astonishia Story;Role-Playing,Japanese-Style;Sonnori / Ubisoft;48;2006-06-06 00:00:00.000000
astro-boy-the-video-game;Astro Boy: The Video Game;Action,Platformer,2D;High Voltage Software / D3Publisher;60;2009-10-20 00:00:00.000000
atari-classics-evolved;Atari Classics Evolved;Miscellaneous,Compilation;Stainless Games / Atari SA;64;2007-12-19 00:00:00.000000
atv-offroad-fury-blazin-trails;ATV Offroad Fury: Blazin' Trails;Racing,Simulation,Automobile;Climax Studios / SCEA;63;2005-04-19 00:00:00.000000
atv-offroad-fury-pro;ATV Offroad Fury Pro;Racing,Simulation,Automobile;Climax Studios / SCEA;76;2006-10-26 00:00:00.000000
audition-portable;Audition Portable;Action,Rhythm,Dancing;;0;2007-06-04 00:00:00.000000
avatar-the-game;James Cameron's Avatar: The Game;Action;Ubisoft, Ubisoft Montreal;51;2009-12-08 00:00:00.000000
avatar-the-last-airbender;Avatar: The Last Airbender;Action Adventure,General;TOSE / THQ;57;2006-10-10 00:00:00.000000
ayakashibito-portable;Ayakashibito Portable;Adventure,Visual Novel;HuneX / Dimple Entertainment;0;2009-03-19 00:00:00.000000
bakugan-defenders-of-the-core;Bakugan: Defenders of the Core;Action,General;Now Production / Activision;0;2010-10-26 00:00:00.000000
bamboo-blade-sorekara-no-chousen;Bamboo Blade: Sorekara no Chousen;Action,General;;0;2009-05-28 00:00:00.000000
bara-no-ki-ni-bara-no-hansaku;Bara no Ki Ni: Bara no Hansaku;Adventure,General;;0;2010-12-22 00:00:00.000000
battle-spirits-heros-soul;Battle Spirits: Hero's Soul;Role-Playing,General;;0;2010-03-11 00:00:00.000000
battle-spirits-kiseki-no-hasha;Battle Spirits: Kiseki no Hasha;Role-Playing,General;Dimps Corporation / Bandai Namco Games;0;2009-11-12 00:00:00.000000
battlezone;BattleZone;Simulation,Vehicle,Combat;Paradigm Entertainment / Atari SA;57;2006-11-06 00:00:00.000000
b-boy;B-Boy;Action,Rhythm,Dancing;FreeStyleGames / Evolved Games;50;2008-09-23 00:00:00.000000
beaterator;Beaterator;Miscellaneous,Application;Rockstar Leeds / Rockstar Games;80;2009-09-29 00:00:00.000000
ben-10-alien-force-vilgax-attacks;Ben 10: Alien Force Vilgax Attacks;Action,General;Papaya Studios / D3Publisher;70;2009-10-27 00:00:00.000000
ben-10-protector-of-earth;Ben 10: Protector of Earth;Action,Beat-'Em-Up,3D;High Voltage Software / D3Publisher;60;2007-10-30 00:00:00.000000
ben-10-ultimate-alien-cosmic-destruction;Ben 10 Ultimate Alien: Cosmic Destruction;Action,General;Papaya Studios / D3Publisher;0;2010-10-05 00:00:00.000000
beowulf-the-game;Beowulf: The Game;Action Adventure,General;Virtuos / Ubisoft;44;2007-12-04 00:00:00.000000
beta-bloc;Beta Bloc;Action,General;Tamsoft / Essential Games;0;2009-12-02 00:00:00.000000
beyond-the-future-fix-the-time-arrows;Beyond the Future: Fix The Time Arrows;Adventure,Visual Novel;M2 / 5pb;0;2011-12-08 00:00:00.000000
biz-taiken-series-kigyoudou;Biz Taiken Series: Kigyoudou;Strategy,General;;0;2006-03-09 00:00:00.000000
black-robinia;Black Robinia;Adventure,Visual Novel;;0;2011-02-24 00:00:00.000000
black-rock-shooter-the-game;Black Rock Shooter: The Game;Action,General;Imageepoch / NIS America;66;2013-04-23 00:00:00.000000
blade-dancer-lineage-of-light;Blade Dancer: Lineage of Light;Role-Playing,Japanese-Style;Hit Maker / NIS America;60;2006-07-18 00:00:00.000000
blazblue-calamity-trigger-portable;BlazBlue: Calamity Trigger Portable;Action,Fighting,2D;Arc System Works / Aksys Games;82;2010-03-10 00:00:00.000000
blazblue-continuum-shift-2;BlazBlue: Continuum Shift II;Action,Fighting,2D;Arc System Works / Aksys Games;77;2011-05-31 00:00:00.000000
blazblue-continuum-shift-extend;BlazBlue: Continuum Shift Extend;Action,Fighting,2D;;0;2012-05-31 00:00:00.000000
blaze-union-story-to-reach-the-future;Blaze Union: Story to Reach the Future;Strategy,Turn-Based,General;Sting / Atlus;0;2010-05-27 00:00:00.000000
blazing-souls-accelate;Blazing Souls: Accelate;Strategy,Turn-Based,Tactics;Idea Factory / Aksys Games;0;2010-10-18 00:00:00.000000
bleach-heat-the-soul-2;Bleach: Heat the Soul 2;Action,Fighting,3D;Eighting / SCEI;0;2005-09-01 00:00:00.000000
bleach-heat-the-soul-3;Bleach: Heat the Soul 3;Action,Fighting,3D;Eighting / SCEI;0;2006-07-20 00:00:00.000000
bleach-heat-the-soul-4;Bleach: Heat the Soul 4;Action,Fighting,3D;Eighting / SCEI;0;2007-05-24 00:00:00.000000
bleach-heat-the-soul-5;Bleach: Heat the Soul 5;Action,Fighting,3D;Eighting / SCEI;0;2008-05-15 00:00:00.000000
bleach-heat-the-soul-6;Bleach: Heat the Soul 6;Action,Fighting,3D;Eighting / SCEI;0;2009-05-14 00:00:00.000000
bleach-heat-the-soul-7;Bleach: Heat the Soul 7;Action,Fighting,3D;Eighting / SCEI;0;2010-09-02 00:00:00.000000
bleach-soul-carnival-2;Bleach: Soul Carnival 2;Role-Playing,Action RPG;Racjin / SCEI;0;2009-12-10 00:00:00.000000
bleach-soul-carnival;Bleach: Soul Carnival;Action;Sony Computer Entertainment;85;1970-01-01 01:00:00.000000
bliss-island;Bliss Island;Puzzle,General;Pompom Software / Codemasters;0;2006-12-08 00:00:00.000000
blitz-overtime;Blitz: Overtime;Sports,Team,Football,Arcade;;61;2006-12-12 00:00:00.000000
blokus-portable-steambot-championship;Blokus Portable: Steambot Championship;Miscellaneous,Board / Card Game;Irem / Majesco;51;2008-03-03 00:00:00.000000
blood-bowl;Blood Bowl;Sports;Cyanide;61;2010-04-13 00:00:00.000000
blood-bowl;Blood Bowl;Sports,Team,Football,Arcade;Cyanide / SouthPeak Games;61;2010-04-13 00:00:00.000000
blood+-final-piece;Blood+ Final Piece;Adventure,Visual Novel;;0;2006-09-07 00:00:00.000000
blood-the-last-vampire;Blood: The Last Vampire;Miscellaneous,Compilation;;0;2006-01-26 00:00:00.000000
blue-roses-yousei-to-aoi-hitomi-no-senshitachi;Blue Roses: Yousei to Aoi Hitomi no Senshitachi;Strategy,Turn-Based,General;ApolloSoft / Nippon Ichi Software;0;2010-09-16 00:00:00.000000
boku-no-natsuyasumi-4-seitouchi-shounen-tanteidan-boku-to-himitsu-no-chizu;Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu;Adventure,General;;0;2009-07-02 00:00:00.000000
